time,Ep_eff,eeq,k_r,rho_i,rho_m,strain_xx,stress_xx,tau_by_tauf,taup,w
0,0,0,0,0,0,0,0,0,0,0
5e-06,8.5893229472752e-06,0.0004645910143525,481.62724375778,20766.894817315,1790239.4927123,0.00049987503499019,56.302337681036,2.7497866868843,16.869209738043,0.21404141802646
1e-05,0.00018263954208054,0.00094048998504944,1327.4998381181,35854.119690807,1775283.9628733,0.00099950031977204,93.84131455437,3.8926298055821,32.869794987731,0.1162094120911
1.5e-05,0.00057128881448954,0.001431334938011,1529.1805316235,66292.622437842,1745119.7204608,0.0014988761037835,106.67025535206,3.540159352146,36.077844986615,0.13767881326935
2e-05,0.0010142586151244,0.001926459278265,1578.029803795,96281.46771772,1715410.8645956,0.0019980026360899,113.21324878755,3.228329670525,36.834828377944,0.16202466266961
2.5e-05,0.0014729750182656,0.0024229906034415,1604.6137721975,122815.77262427,1689134.8968508,0.0024968801653833,117.93205873369,3.0302452406859,37.244559779742,0.1809845490438
3e-05,0.0019407830493272,0.002920341908242,1623.3246816904,145836.55848305,1666349.8789562,0.0029955089399835,121.59697217899,2.8970176110301,37.532156378623,0.19566070654915
3.5e-05,0.0024150243648694,0.0034182651428622,1637.3412884026,165658.70716412,1646743.0833445,0.00349388920784,124.51577741368,2.8021627654101,37.747290383598,0.20721840702248
4e-05,0.002894077282299,0.0039166116253528,1648.1296801837,182672.06313323,1629927.2850078,0.0039920212165303,126.87640496333,2.7317484529193,37.91280142456,0.21646890328886
4.5e-05,0.0033768262091554,0.0044152814260885,1656.5759075478,197265.47386939,1615516.1868097,0.0044899052132635,128.80824906789,2.6778149533343,38.042427027234,0.22397672815902
5e-05,0.0038624646207157,0.0049142036414449,1663.2699204405,209796.80007439,1603154.2321068,0.0049875414448791,130.4049253775,2.6354807924204,38.14527373176,0.23014488767738
5.5e-05,0.0043503921810007,0.0054133262550722,1668.6253076926,220581.81943944,1592527.6478123,0.005484930157848,131.73616040327,2.6015848373667,38.227702149251,0.2352677498075
6e-05,0.0048401531307617,0.0059126102278624,1672.941888986,229892.35415659,1583366.318456,0.005982071598274,132.85491781708,2.5739916865618,38.294309210417,0.23956442267702
6.5e-05,0.0053313964328792,0.0064120257729495,1676.4421653254,237958.84796033,1575441.234699,0.0064789660118935,133.80201227395,2.5512095675541,38.348497931252,0.24320058231649
7e-05,0.0058238486222458,0.0069115498745504,1679.2941399545,244974.85246259,1568560.0413158,0.006975613644077,134.60925505691,2.5321674349156,38.392832675828,0.246303204969
7.5e-05,0.0063172946291204,0.007411164567755,1681.6263848762,251102.06815003,1562562.0316745,0.00747201473983,135.30167747022,2.5160785770676,38.429272774033,0.24897077190043
8e-05,0.0068115638834049,0.0079108557105654,1683.5383870275,256475.24593049,1557313.2792299,0.007968169543793,135.89914286471,2.5023538100357,38.459332359351,0.25128048944167
8.5e-05,0.0073065200587346,0.0084106120882283,1685.1078630828,261206.62622448,1552702.2275591,0.0084640783002419,136.41753695158,2.4905443915873,38.484193006389,0.25329348713137
9e-05,0.0078020533994817,0.0089104247492792,1686.3960446597,265389.7976821,1548635.8565001,0.0089597412530906,136.86965863963,2.4803034323079,38.504784885004,0.25505861505285
9.5e-05,0.0082980749200793,0.0094102865071327,1687.4515601329,269102.96639331,1545036.4337196,0.0094551586458893,137.26589366447,2.4713591930289,38.521846221602,0.25661525242362
0.0001,0.0087945119829271,0.009910191562139,1688.3133221353,272411.67978821,1541838.8079487,0.0099503307218277,137.61472822324,2.4634962326832,38.535967439755,0.25799540734132
0.000105,0.0092913049033346,0.010410135212562,1689.0126972009,275371.07148864,1538988.1781427,0.010445257723734,137.92314336449,2.4565418645361,38.547624270777,0.25922530166113
0.00011,0.009788404326478,0.01091011363189,1689.5751497886,278027.69847276,1536438.26771,0.010939939894074,138.19691972362,2.4503562758388,38.557202807485,0.260326577675
0.000115,0.010285769189004,0.011410123696099,1690.0214968719,280421.0383894,1534149.8364359,0.011434377474957,138.44087436175,2.444825220759,38.565018600929,0.26131722430292
0.00012,0.010783365125963,0.01191016284881,1690.3688717468,282584.70747297,1532089.4700481,0.011928570708132,138.6590458626,2.4398545494344,38.571331316742,0.26221229342328
0.000125,0.011281163218865,0.012410228995365,1690.6314687296,284547.45088638,1530228.595935,0.012422519834989,138.85483980858,2.4353660651015,38.576356050521,0.26302445800714
0.00013,0.011779139006267,0.012910320419114,1690.8211219764,286333.94883411,1528542.6819495,0.012916225096561,139.03114375308,2.4312943539196,38.58027211694,0.26376445011411
0.000135,0.012277271697369,0.013410435714853,1690.9477579116,287965.47408641,1527010.5828839,0.013409686733525,139.1904186086,2.4275843351396,38.583229915933,0.2644414070487
0.00014,0.012775543543309,0.013910573735571,1691.0197508432,289460.42988564,1525614.0058274,0.0139029049862,139.33477171235,2.424189350221,38.585356327209,0.26506314685545
0.000145,0.013273939331545,0.014410733549594,1691.0442041182,290834.79159742,1524337.0711874,0.014395880094552,139.46601558898,2.4210696590511,38.586758973666,0.2656363891014
0.00015,0.013772445976749,0.014910914405854,1691.0271736814,292102.47084546,1523165.9507544,0.014888612298191,139.58571550281,2.4181912464154,38.587529610422,0.26616693303313
0.000155,0.014271052187752,0.015411115705606,1690.9738469167,293275.61710905,1522088.5679221,0.015381101836373,139.69522816992,2.4155248669309,38.587746835267,0.26665980231823
0.00016,0.014769748194743,0.015911336979219,1690.8886865523,294364.86873515,1521094.3481862,0.015873348948001,139.79573346892,2.4130452747456,38.587478269228,0.26711936343078
0.000165,0.015268525524422,0.016411577867039,1690.7755472148,295379.56289526,1520174.0104477,0.016365353871624,139.88826058289,2.4107305975664,38.586782322395,0.26754942311129
0.00017,0.015767376813567,0.016911838103496,1690.63777036,296327.91209074,1519319.3915674,0.01685711684544,139.97370966774,2.4085618242371,38.585709631973,0.26795330911838
0.000175,0.016266295653533,0.017412117503842,1690.4782621036,297217.15328182,1518523.2981291,0.017348638107298,140.05286993659,2.406522382368,38.584304241183,0.26833393754574
0.00018,0.016765276459788,0.01791241595302,1690.2995574261,298053.6745034,1517779.3805818,0.017839917894693,140.12643482362,2.4045977878917,38.582604571694,0.26869386926981
0.000185,0.017264314361869,0.018412733396261,1690.103873436,298843.12287401,1517082.0258759,0.018330956444772,140.19501478039,2.4027753524599,38.580644230295,0.26903535755181
0.00019,0.017763405110053,0.018913069831115,1689.8931538533,299590.49714497,1516426.2654667,0.018821753994332,140.25914812329,2.4010439377252,38.578452682561,0.2693603883863
0.000195,0.018262544995841,0.019413425300654,1689.6691063028,300300.22733667,1515807.6961525,0.019312310779822,140.31931028178,2.3993937478107,38.576055817642,0.26967071488002
0.0002,0.018761730783862,0.019913799887656,1689.4332338632,300976.24353093,1515222.411693,0.019802627037343,140.37592170957,2.3978161532021,38.573476426019,0.26996788666501
0.000205,0.019260959653334,0.020414193709597,1689.1868617564,301622.0355109,1514666.9435242,0.020292703002649,140.42935469118,2.3963035405207,38.570734603691,0.27025327518451
0.00021,0.019760229147531,0.020914606914346,1688.931160172,302240.70463553,1514138.2091928,0.020782538911148,140.47993921225,2.394849183886,38.56784809782,0.27052809550112
0.000215,0.020259537130013,0.021415039676409,1688.6671637342,302835.00909419,1513633.4673709,0.0212721349979,140.52796804901,2.3934471342524,38.564832601557,0.27079342518568
0.00022,0.020758881746568,0.021915492193697,1688.3957883226,303407.40349268,1513150.2785053,0.021761491497624,140.57370118626,2.3920921239394,38.561702008765,0.27105022071559
0.000225,0.021258261392057,0.022415964684685,1688.1178455264,303960.07356317,1512686.4703144,0.022250608644691,140.61736966941,2.3907794839224,38.558468632945,0.27129933176584
0.00023,0.021757674681414,0.02291645738595,1687.8340552357,304494.96666436,1512240.1074691,0.02273948667313,140.65917897185,2.3895050720377,38.555143397924,0.27154151368214
0.000235,0.022257120424262,0.023416970549996,1687.5450564953,305013.818633,1511809.4649011,0.023228125816627,140.6993119411,2.3882652104048,38.55173600226,0.27177743840951
0.00024,0.022756597602605,0.023917504443353,1687.2514170363,305518.17746357,1511393.0042638,0.023716526308523,140.73793139012,2.3870566308393,38.548255063612,0.27200770407048
0.000245,0.02325610535122,0.02441805934492,1686.9536415837,306009.42422128,1510989.353144,0.024204688381821,140.77518236873,2.3858764270783,38.544708244582,0.27223284338564
0.00025,0.02375564294037,0.024918635544478,1686.6521791236,306488.79153584,1510597.286678,0.02469261226918,140.8111941694,2.3847220129007,38.541102362801,0.27245333108601
0.000255,0.024255209760564,0.025419233341403,1686.3474292842,306957.37997516,1510215.7112751,0.025180298202922,140.84608209768,2.3835910853444,38.537443487599,0.27266959044874
0.00026,0.024754805309075,0.025919853043512,1686.0397479395,307416.17255577,1509843.6501938,0.025667746415025,140.87994903124,2.382481592359,38.533737024907,0.27288199906542
0.000265,0.025254429178018,0.02642049496606,1685.7294522017,307866.04761448,1509480.2307466,0.026154957137131,140.91288679948,2.3813917043426,38.529987792894,0.27309089393477
0.00027,0.025754081043803,0.026921159430828,1685.4168247033,308307.79023422,1509124.6729422,0.026641930600543,140.94497741217,2.380319788977,38.52620008686,0.27329657598017
0.000275,0.026253760657776,0.02742184676534,1685.1021175063,308742.10239423,1508776.2793958,0.027128667036226,140.97629413522,2.3792643890756,38.522377738463,0.27349931403744
0.00028,0.026753467837915,0.027922557302151,1684.7855554976,309169.61199215,1508434.4263607,0.027615166674805,141.00690245674,2.3782242029811,38.518524167191,0.27369934839389
