time,Ep_eff,Phi,eeq,phi_1,phi_2,rho_i,rho_m,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0025830812468784,2.8326272440897e-29,154.87037862098,2.9098691742926e-06,-14.29,38.609992026118,16000000,4000000,-9.6323793131009e-07,-1.0631900237998e-06,3.0996924864112e-06,-7.1766367061262e-08,-9.7853648058175e-08,0.47299006800222,0.52964148855366
0.018444056862426,5.0354371679101e-27,154.87270359636,2.077786311942e-05,-14.29,38.609943062453,16000000,4000000,-6.8782788334658e-06,-7.5920249274426e-06,2.2132612827616e-05,-3.6584160751367e-06,-4.9889071933248e-06,3.3776650065125,3.7821680901708
0.1,5.4235664678649e-23,154.88466162261,0.00011266673844375,-14.29,38.609691242785,16000000,4000000,-3.7306711871906e-05,-4.1178209193034e-05,0.00011999249239512,-0.00010758506745225,-0.00014670587739067,18.324206657561,20.51714806021
