time,Ep_eff,Phi,eeq,gstain_1,gstain_10,gstain_11,gstain_12,gstain_13,gstain_14,gstain_15,gstain_16,gstain_17,gstain_18,gstain_19,gstain_2,gstain_20,gstain_21,gstain_22,gstain_23,gstain_24,gstain_3,gstain_4,gstain_5,gstain_6,gstain_7,gstain_8,gstain_9,phi_1,phi_2,rho_i,rho_m,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5633635956253e-06,0,0.65095463632576,0.00015846661545143,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,-21.921704262438,12.812907265831,400,400,0.00017125260727864,-6.4540976485944e-05,-6.454097648598e-05,20.719476065103,6.117824883011e-08,6.117817271654e-08,20.719476003925
1.456013532877e-05,8.5356847960109e-08,0.84887043150083,0.00026948021729136,1e-18,1e-18,-0.0036818070599678,0.0036818070599687,0.0093902077210957,1e-18,1e-18,0.0093902077210963,1e-18,1e-18,1e-18,-0.0036818070599675,1e-18,0.0093902077210967,1e-18,1e-18,0.0093902077210963,0.0036818070599683,1e-18,0.003681807059968,-0.0036818070599684,1e-18,-0.0036818070599682,0.0036818070599686,21.927409434367,-22.967870907554,399.99952468208,400.00900335089,0.00029116031520432,-0.00010979745765309,-0.00010979745765303,35.245650431562,1.7847754751595e-07,1.7847834627623e-07,35.245650253084
1.8759568275633e-05,6.6641660589902e-07,0.96297046789323,0.0003472736180851,1e-18,1e-18,-0.017434361250207,0.017434361250207,0.037479490786484,1e-18,1e-18,0.037479490786485,1e-18,1e-18,1e-18,-0.017434361250206,1e-18,0.037479490786486,1e-18,1e-18,0.037479490786486,0.017434361250206,1e-18,0.017434361250207,-0.017434361250206,1e-18,-0.017434361250207,0.017434361250207,37.256064655861,-10.755603116092,399.99623582298,400.07130371745,0.00037512099873184,-0.00014157757102275,-0.0001415775710227,45.36802281226,2.6662598947345e-07,2.666257613248e-07,45.368022545634
2.1794989155662e-05,1.8344030876913e-06,1.036802314745,0.00040356247610066,1e-18,1e-18,-0.03827957509598,0.038279575095979,0.079822998517316,-0.00084971039185729,-0.00084971039185689,0.079822998517314,-0.00084971039185685,-0.00084971039185725,-0.00084971039185707,-0.038279575095978,-0.0008497103918572,0.079822998517317,-0.00084971039185733,-0.0008497103918572,0.079822998517321,0.038279575095976,1e-18,0.038279575095975,-0.038279575095977,1e-18,-0.038279575095977,0.038279575095978,-32.555838321612,29.250514452311,399.98960233777,400.19697989269,0.00043580480629825,-0.00016465176138164,-0.00016465176138156,52.60021368736,3.70378846998e-07,3.7037884437624e-07,52.600213316981
2.4794989155662e-05,4.1595327503284e-06,1.1036459125385,0.00045927916531352,1e-18,1e-18,-0.072607834124347,0.07260783412434,0.14986747920966,-0.0030798292258707,-0.0030798292258696,0.14986747920965,-0.0030798292258693,-0.0030798292258701,-0.003079829225869,-0.07260783412435,-0.0030798292258702,0.14986747920964,-0.0030798292258706,-0.0030798292258692,0.14986747920965,0.072607834124345,1e-18,0.072607834124339,-0.072607834124343,1e-18,-0.072607834124336,0.072607834124342,-30.514433772033,9.5737177909198,399.97630110077,400.44905525099,0.00049577686534406,-0.00018760846826616,-0.00018760846826612,59.610668224963,6.4479332011176e-07,6.4479320649467e-07,59.61066758017
2.7794989155662e-05,8.3438898633687e-06,1.164710083345,0.00051512626284216,1e-18,1e-18,-0.1250794207163,0.12507942071631,0.25775074180017,-0.0065104663101142,-0.0065104663101141,0.25775074180019,-0.0065104663101144,-0.0065104663101148,-0.0065104663101145,-0.12507942071631,-0.0065104663101133,0.25775074180016,-0.0065104663101132,-0.0065104663101148,0.25775074180017,0.12507942071631,1e-18,0.12507942071631,-0.12507942071632,1e-18,-0.12507942071631,0.1250794207163,13.553873223946,9.5946502515585,399.9522896846,400.90434906293,0.00055574532795744,-0.0002108004750769,-0.00021080047507691,66.399810389758,1.031450262757e-06,1.0314503760279e-06,66.399809358308
3.0794989155662e-05,1.5272847093464e-05,1.2199586434571,0.00057116254746831,1e-18,1e-18,-0.19941723119604,0.19941723119603,0.41192588367208,-0.011398969923879,-0.011398969923876,0.41192588367207,-0.011398969923878,-0.011398969923877,-0.011398969923879,-0.19941723119603,-0.011398969923877,0.41192588367209,-0.01139896992388,-0.011398969923877,0.4119258836721,0.19941723119602,1e-18,0.19941723119602,-0.19941723119602,1e-18,-0.19941723119603,0.19941723119603,-24.533000674564,11.58789437087,399.91247596608,401.65997772074,0.00061571019457001,-0.00023433440996848,-0.00023433440996843,72.859276062971,1.5086533815447e-06,1.5086527017193e-06,72.859274554318
3.3794989155662e-05,2.5962131272565e-05,1.2691531630999,0.00062745594143771,1e-18,1e-18,-0.29710421416354,0.29710421416355,0.61629675879574,-0.017785786127774,-0.017785786127773,0.61629675879577,-0.017785786127775,-0.017785786127774,-0.017785786127776,-0.29710421416354,-0.017785786127772,0.61629675879575,-0.017785786127773,-0.017785786127774,0.61629675879575,0.29710421416353,1e-18,0.29710421416356,-0.29710421416355,1e-18,-0.29710421416355,0.29710421416353,-33.84799630806,45.205262561623,399.8510313704,402.82785320385,0.0006756714656132,-0.00025833217880563,-0.00025833217880556,78.864533127117,2.0143622994694e-06,2.0143618613964e-06,78.864531112755
3.6794989155662e-05,4.1426038574053e-05,1.3120094696439,0.00068407519380303,1e-18,1e-18,-0.41591591702338,0.41591591702338,0.86688610483481,-0.025463498958216,-0.025463498958214,0.8668861048348,-0.025463498958214,-0.025463498958216,-0.025463498958215,-0.41591591702337,-0.025463498958216,0.86688610483482,-0.025463498958216,-0.025463498958216,0.86688610483484,0.41591591702336,1e-18,0.41591591702336,-0.41591591702337,1e-18,-0.41591591702337,0.41591591702338,0.37412932253788,1.0386094218324,399.76215739257,404.52076529949,0.00073562914151763,-0.00028291497468749,-0.00028291497468738,84.290955933383,2.4499023626722e-06,2.4499023808256e-06,84.29095348348
3.9794989155662e-05,6.2494728978225e-05,1.3483617470789,0.00074107808770874,1e-18,1e-18,-0.54937669337241,0.5493766933724,1.1504010752692,-0.033970235861761,-0.033970235861757,1.1504010752692,-0.033970235861757,-0.03397023586176,-0.033970235861757,-0.54937669337242,-0.033970235861758,1.1504010752692,-0.033970235861759,-0.033970235861757,1.1504010752692,0.54937669337241,1e-18,0.5493766933724,-0.54937669337241,1e-18,-0.54937669337239,0.5493766933724,-48.366983108085,71.888866399446,399.64114154484,406.83296906954,0.00079558322271489,-0.00030818127946437,-0.00030818127946425,89.036197676928,2.7153233322789e-06,2.715323277169e-06,89.036194961605
4.2326989155662e-05,8.5001328605279e-05,1.3740377314658,0.00078951507196084,1e-18,1e-18,-0.6663451001842,0.66634510018421,1.4002949309693,-0.04133301720228,-0.041333017202281,1.4002949309693,-0.04133301720228,-0.041333017202281,-0.041333017202281,-0.66634510018419,-0.041333017202281,1.4002949309693,-0.041333017202281,-0.041333017202282,1.4002949309693,0.66634510018419,1e-18,0.66634510018419,-0.66634510018419,1e-18,-0.6663451001842,0.66634510018421,26.910797996787,-23.500533817223,399.51196821949,409.31003795163,0.00084618167027731,-0.00033008217541274,-0.00033008217541265,92.466862571381,-9.4137903718596e-07,-9.4137892394618e-07,92.46686351276
4.3661323261262e-05,9.8643451599287e-05,1.3857779483117,0.00081516372886487,1e-18,1e-18,-0.72715106220405,0.72715107790445,1.5306484384634,-0.045129471314724,-0.045129471314725,1.5306484720683,-0.045129472289823,-0.045129472289822,-0.045129473268765,-0.7271510622256,-0.045129470335687,1.5306484552642,-0.045129470335687,-0.045129473268765,1.5306484552642,0.72715106222561,1e-18,0.72715107788441,-0.7271510778844,1e-18,-0.72715107790445,0.72715106220405,91.402352765507,-16.479476831648,399.43372379438,410.81506380594,0.00087284542467817,-0.00034183849423301,-0.00034183849423291,94.057104853034,1.8765698186624e-07,1.8765700064222e-07,94.057104665377
