time,Ep_eff,Nloop_1,Nloop_10,Nloop_11,Nloop_12,Nloop_13,Nloop_14,Nloop_15,Nloop_16,Nloop_17,Nloop_18,Nloop_19,Nloop_2,Nloop_20,Nloop_21,Nloop_22,Nloop_23,Nloop_24,Nloop_3,Nloop_4,Nloop_5,Nloop_6,Nloop_7,Nloop_8,Nloop_9,cslipr_1,cslipr_10,cslipr_11,cslipr_12,cslipr_13,cslipr_14,cslipr_15,cslipr_16,cslipr_17,cslipr_18,cslipr_19,cslipr_2,cslipr_20,cslipr_21,cslipr_22,cslipr_23,cslipr_24,cslipr_3,cslipr_4,cslipr_5,cslipr_6,cslipr_7,cslipr_8,cslipr_9,cstrainfrac1,cstrainfrac2,dloop_1,dloop_10,dloop_11,dloop_12,dloop_13,dloop_14,dloop_15,dloop_16,dloop_17,dloop_18,dloop_19,dloop_2,dloop_20,dloop_21,dloop_22,dloop_23,dloop_24,dloop_3,dloop_4,dloop_5,dloop_6,dloop_7,dloop_8,dloop_9,eeq,gslipr_1,gslipr_10,gslipr_11,gslipr_12,gslipr_13,gslipr_14,gslipr_15,gslipr_16,gslipr_17,gslipr_18,gslipr_19,gslipr_2,gslipr_20,gslipr_21,gslipr_22,gslipr_23,gslipr_24,gslipr_3,gslipr_4,gslipr_5,gslipr_6,gslipr_7,gslipr_8,gslipr_9,rho_i,rho_m,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
397.16411736214,8.8707158259182e-09,5000000099830.8,5000000099647.8,5000000099647.8,5000000099647.8,5000000099830.8,5000000099830.8,5000000099830.8,5000000098354.9,5000000098354.9,5000000098354.9,5000000109410.5,5000000099830.8,5000000109410.5,5000000109410.5,5000000099647.8,5000000099647.8,5000000099647.8,5000000099830.8,5000000098354.9,5000000098354.9,5000000098354.9,5000000109410.5,5000000109410.5,5000000109410.5,1.6925321465709e-12,1.6894023762597e-12,1.6894023762597e-12,1.6894023762597e-12,1.6925321465709e-12,1.6925321465709e-12,1.6925321465709e-12,1.6674985112789e-12,1.6674985112789e-12,1.6674985112789e-12,1.8549725420192e-12,1.6925321465709e-12,1.8549725420192e-12,1.8549725420192e-12,1.6894023762597e-12,1.6894023762597e-12,1.6894023762597e-12,1.6925321465709e-12,1.6674985112789e-12,1.6674985112789e-12,1.6674985112789e-12,1.8549725420192e-12,1.8549725420192e-12,1.8549725420192e-12,0.99999999994725,0.99999999095726,3.5395598434635e-06,3.5395690063188e-06,3.5395690063188e-06,3.5395690063188e-06,3.5395598434635e-06,3.5395598434635e-06,3.5395598434635e-06,3.5395604966046e-06,3.5395604966046e-06,3.5395604966046e-06,3.5395699081887e-06,3.5395598434635e-06,3.5395699081887e-06,3.5395699081887e-06,3.5395690063188e-06,3.5395690063188e-06,3.5395690063188e-06,3.5395598434635e-06,3.5395604966046e-06,3.5395604966046e-06,3.5395604966046e-06,3.5395699081887e-06,3.5395699081887e-06,3.5395699081887e-06,6.3749710118235e-05,2.1015286214979e-22,6.7977556406229e-22,3.3166100936185e-21,-1.2588553143251e-21,1.0955934618146e-22,-7.5997021932457e-23,-4.424117108363e-23,1.7504851287433e-21,-4.5147412027134e-22,2.7000793187817e-22,8.4278300799499e-23,-4.8192173831227e-22,7.26476679358e-22,-2.1718059394333e-21,1.3927846815998e-21,1.480012696915e-21,-1.2573736125096e-21,6.8944627068244e-22,1.5187306331145e-21,3.707401108215e-21,1.0222924699902e-21,-2.0954953885576e-22,4.2729861643202e-22,-2.5976045644061e-21,15999997.244781,3999998.9457353,-3.063606201635e-05,6.4676322877836e-05,1.7775035089737e-05,-1.6680413680637e-05,15.011481369481,7.5057844620648,13.794326647205
3971.6411736214,1.1268822665948e-07,5000000879553.5,5000000877950.2,5000000877950.2,5000000877950.2,5000000879553.5,5000000879553.5,5000000879553.5,5000000866539.9,5000000866539.9,5000000866539.9,5000000963974.8,5000000879553.5,5000000963974.8,5000000963974.8,5000000877950.2,5000000877950.2,5000000877950.2,5000000879553.5,5000000866539.9,5000000866539.9,5000000866539.9,5000000963974.8,5000000963974.8,5000000963974.8,1.6922010115496e-12,1.6891177238011e-12,1.6891177238012e-12,1.6891177238012e-12,1.6922010115497e-12,1.6922010115496e-12,1.6922010115496e-12,1.6671298178408e-12,1.6671298178408e-12,1.6671298178407e-12,1.8546727359482e-12,1.6922010115497e-12,1.8546727359482e-12,1.8546727359483e-12,1.6891177238012e-12,1.6891177238011e-12,1.6891177238012e-12,1.6922010115497e-12,1.6671298178408e-12,1.6671298178408e-12,1.6671298178407e-12,1.8546727359482e-12,1.8546727359483e-12,1.8546727359483e-12,0.99999999997182,0.99999999124245,6.7217107690981e-06,6.7217683919097e-06,6.7217683919097e-06,6.7217683919097e-06,6.7217107690981e-06,6.7217107690981e-06,6.7217107690981e-06,6.7217149230305e-06,6.7217149230305e-06,6.7217149230305e-06,6.721773642374e-06,6.721710769098e-06,6.721773642374e-06,6.721773642374e-06,6.7217683919097e-06,6.7217683919096e-06,6.7217683919097e-06,6.7217107690981e-06,6.7217149230305e-06,6.7217149230305e-06,6.7217149230305e-06,6.721773642374e-06,6.721773642374e-06,6.721773642374e-06,6.3841259293581e-05,2.0052251554322e-22,6.6616010100116e-22,3.1977644867855e-21,-1.2147157926894e-21,1.1283593226564e-22,-6.7708311892009e-23,-3.3375570557593e-23,1.6952039155015e-21,-4.2201450163906e-22,2.6939560486642e-22,9.697962631922e-23,-4.648441563799e-22,7.1536527654117e-22,-2.0927734162195e-21,1.3555025429633e-21,1.4483728982742e-21,-1.2028219202085e-21,6.5749163130339e-22,1.465898041114e-21,3.5674121213427e-21,9.8949075896669e-22,-2.0861620745615e-22,4.1699052412005e-22,-2.5145973938404e-21,15999965.648875,3999986.6072846,-3.0636574835841e-05,6.4803864908654e-05,1.7796057453873e-05,-1.6648549162892e-05,15.011481422204,7.5057844479885,13.792663025377
39716.411736214,1.1492565110371e-06,5000003989912.9,5000003983112.6,5000003983112.6,5000003983112.6,5000003989912.9,5000003989913,5000003989912.9,5000003930474.9,5000003930474.9,5000003930474.9,5000004373472.1,5000003989913,5000004373472.1,5000004373472.1,5000003983112.6,5000003983112.6,5000003983112.6,5000003989912.9,5000003930474.9,5000003930474.9,5000003930474.9,5000004373472.1,5000004373472.1,5000004373472.1,1.6889314836741e-12,1.6863006721093e-12,1.6863006721104e-12,1.6863006721103e-12,1.6889314836748e-12,1.6889314836743e-12,1.6889314836743e-12,1.6634847980404e-12,1.6634847980406e-12,1.6634847980402e-12,1.8517128050132e-12,1.6889314836746e-12,1.8517128050133e-12,1.8517128050137e-12,1.6863006721099e-12,1.6863006721095e-12,1.6863006721103e-12,1.688931483675e-12,1.6634847980405e-12,1.6634847980406e-12,1.6634847980403e-12,1.851712805013e-12,1.8517128050136e-12,1.8517128050138e-12,0.99999999999431,0.99999999222459,1.9430919273324e-05,1.9431124406922e-05,1.9431124406925e-05,1.9431124406923e-05,1.9430919273325e-05,1.9430919273324e-05,1.9430919273324e-05,1.9430935470824e-05,1.9430935470825e-05,1.9430935470823e-05,1.9431129517573e-05,1.9430919273324e-05,1.9431129517572e-05,1.9431129517573e-05,1.9431124406924e-05,1.9431124406921e-05,1.9431124406923e-05,1.9430919273326e-05,1.9430935470825e-05,1.9430935470825e-05,1.9430935470823e-05,1.9431129517573e-05,1.9431129517573e-05,1.9431129517573e-05,6.4757693133771e-05,1.5822774769945e-22,6.2039052382787e-22,2.8123733573139e-21,-1.0591403292709e-21,1.541872531224e-22,-4.0013106538594e-24,5.3131340653082e-23,1.5316340000963e-21,-2.4873734136541e-22,3.0576280575366e-22,2.0560238549866e-22,-4.0158423736106e-22,7.2954761880874e-22,-1.7919204452577e-21,1.3099764060644e-21,1.4045371384644e-21,-9.5358923887402e-22,5.1801587880673e-22,1.2837111596676e-21,3.0290649572687e-21,8.7086127930399e-22,-2.2320916882434e-22,4.0510045830106e-22,-2.2468231141465e-21,15999649.954776,3999863.367928,-3.0641075276824e-05,6.6077399831322e-05,1.8005860237434e-05,-1.6708456029591e-05,15.011481425463,7.5057838654956,13.776364699643
397164.11736214,1.1363918252101e-05,5000014043442.8,5000014032147.6,5000014032147.5,5000014032147.6,5000014043442.8,5000014043442.8,5000014043442.8,5000013820837.8,5000013820837.8,5000013820837.8,5000015411569.4,5000014043442.8,5000015411569.5,5000015411569.4,5000014032147.6,5000014032147.7,5000014032147.6,5000014043442.7,5000013820837.8,5000013820837.7,5000013820837.8,5000015411569.4,5000015411569.4,5000015411569.4,1.6598782419337e-12,1.660802801628e-12,1.6608028016375e-12,1.6608028016374e-12,1.6598782419401e-12,1.6598782419356e-12,1.6598782419358e-12,1.6307651561564e-12,1.6307651561578e-12,1.6307651561546e-12,1.8251555256691e-12,1.6598782419384e-12,1.8251555256702e-12,1.8251555256737e-12,1.6608028016331e-12,1.6608028016298e-12,1.6608028016369e-12,1.6598782419413e-12,1.6307651561568e-12,1.6307651561583e-12,1.6307651561556e-12,1.8251555256674e-12,1.8251555256729e-12,1.8251555256747e-12,0.99999999999787,0.99999999404052,6.091541693783e-05,6.0916103864603e-05,6.0916103864666e-05,6.0916103864617e-05,6.0915416937844e-05,6.091541693782e-05,6.0915416937835e-05,6.0915519771056e-05,6.0915519771088e-05,6.0915519771044e-05,6.0915700127883e-05,6.091541693781e-05,6.0915700127852e-05,6.0915700127866e-05,6.0916103864642e-05,6.0916103864574e-05,6.0916103864626e-05,6.0915416937892e-05,6.0915519771086e-05,6.0915519771094e-05,6.0915519771043e-05,6.0915700127881e-05,6.091570012788e-05,6.0915700127874e-05,7.3982527347222e-05,2.712703360801e-23,5.379010608133e-22,2.2785766232989e-21,-7.4394650872061e-22,3.7268711245575e-22,3.1815446400583e-22,5.1195121080649e-22,1.3169778890867e-21,5.5353637833203e-22,5.949461755708e-22,8.1885923105634e-22,-2.2397735357968e-22,1.0918622775478e-21,-1.0890383397682e-21,1.7547459710805e-21,1.7351648911389e-21,-1.1270746604328e-22,3.4095494203687e-23,9.4278855085076e-22,1.5602424153401e-21,6.3245413175483e-22,-3.5561544666174e-22,5.7253924457952e-22,-1.8900738387704e-21,15996517.460727,3998644.3836609,-3.0624660828695e-05,7.8631413172763e-05,2.006709552588e-05,-0.00028102136354145,15.011087064342,7.5054698847304,13.64320708758
1255943.2157548,3.4907481921706e-05,5000024923401.5,5000024929588.5,5000024929588.1,5000024929588.3,5000024923401.4,5000024923401.6,5000024923401.5,5000024465792.1,5000024465791.9,5000024465792.2,5000027407150.4,5000024923401.6,5000027407150.6,5000027407150.5,5000024929588.2,5000024929588.6,5000024929588.3,5000024923401.1,5000024465792,5000024465791.9,5000024465792.2,5000027407150.5,5000027407150.4,5000027407150.4,1.6049617771689e-12,1.6072534597852e-12,1.6072534598163e-12,1.6072534598198e-12,1.6049617771915e-12,1.6049617771748e-12,1.604961777177e-12,1.5641479814036e-12,1.5641479814075e-12,1.5641479813966e-12,1.7728391441937e-12,1.6049617771845e-12,1.7728391441959e-12,1.772839144209e-12,1.6072534598019e-12,1.6072534597932e-12,1.6072534598165e-12,1.6049617771965e-12,1.5641479814023e-12,1.5641479814098e-12,1.5641479814014e-12,1.772839144186e-12,1.7728391442064e-12,1.7728391442133e-12,0.99999999999966,0.99999999466274,0.00010714055045943,0.0001071418237506,0.00010714182375095,0.00010714182375073,0.00010714055045954,0.0001071405504594,0.00010714055045947,0.0001071410393207,0.00010714103932086,0.00010714103932063,0.0001071392694273,0.00010714055045936,0.00010713926942716,0.00010713926942724,0.00010714182375083,0.00010714182375049,0.00010714182375076,0.00010714055045978,0.00010714103932082,0.00010714103932089,0.00010714103932064,0.00010713926942727,0.0001071392694273,0.00010713926942729,9.608229386595e-05,-4.9291516848328e-23,4.9168933440889e-22,2.4329635077857e-21,-5.9863193677813e-22,3.1211090643144e-22,5.5503632005936e-22,8.9069448674524e-22,9.1827736635152e-22,1.4304980399447e-21,7.8936959181757e-22,1.4491665377801e-21,1.0949949854076e-22,1.5294858307477e-21,-8.7719121936257e-22,2.449025592486e-21,2.2470239326707e-21,4.7873845213242e-22,-5.3910767768399e-22,8.2265116564567e-22,2.9574001147021e-23,6.1184162311309e-22,-4.9497632362545e-22,1.0093062610086e-21,-2.0100074185187e-21,15989144.615251,3995800.0579399,-3.0131456923604e-05,0.0001075345373081,2.4860210464066e-05,-0.00073191672191084,15.010235555865,7.5049628925998,13.476397548076
3971641.1736214,0.00010384160928314,5000043515534.7,5000043521833,5000043521831.2,5000043521831.6,5000043515533.6,5000043515534.6,5000043515534.3,5000042481951.4,5000042481950.7,5000042481951.9,5000047995183,5000043515534.6,5000047995183.7,5000047995183,5000043521831.6,5000043521832.9,5000043521831.8,5000043515532.6,5000042481951.5,5000042481950.6,5000042481951.5,5000047995183.7,5000047995182.9,5000047995182.6,1.5242116437711e-12,1.5236792297996e-12,1.5236792299115e-12,1.5236792299337e-12,1.524211643865e-12,1.524211643793e-12,1.5242116438063e-12,1.4751469764145e-12,1.4751469764203e-12,1.4751469763784e-12,1.6892095028102e-12,1.52421164383e-12,1.6892095028084e-12,1.6892095028594e-12,1.5236792298581e-12,1.5236792298394e-12,1.5236792299192e-12,1.5242116438864e-12,1.4751469763873e-12,1.4751469764356e-12,1.4751469764086e-12,1.6892095027712e-12,1.6892095028474e-12,1.6892095028819e-12,1,0.99999999348672,0.00018985428598783,0.00018985679961396,0.00018985679961593,0.00018985679961519,0.00018985428598877,0.00018985428598782,0.00018985428598821,0.0001898578498036,0.00018985784980437,0.00018985784980314,0.00018984185376217,0.00018985428598773,0.00018984185376142,0.00018984185376201,0.00018985679961538,0.00018985679961372,0.00018985679961513,0.00018985428598998,0.00018985784980382,0.00018985784980455,0.00018985784980343,0.00018984185376164,0.00018984185376222,0.00018984185376242,0.00016318818098276,-4.7418082756096e-23,5.4564881595567e-22,3.8909765091904e-21,-6.4314530771069e-22,-6.2541319541255e-22,9.8661854204107e-22,1.1059373284881e-21,-3.0947307734811e-22,2.8716317441339e-21,7.6306946886501e-22,2.3070600625449e-21,1.4690567538905e-21,2.0097203149733e-21,-1.5427865301764e-21,3.5855551954695e-21,3.045965824505e-21,5.1298467090434e-22,-1.4096224556989e-21,1.1027958314219e-21,-2.4282745428418e-21,9.8730736698846e-22,-7.3593754090002e-22,2.0155119038241e-21,-2.9175408890811e-21,15966619.890459,3987240.3078904,-2.5739702826108e-05,0.00019095238610763,4.0327535722674e-05,0.00064222251535948,15.012118045643,7.5063490887942,13.469323792275
5000000,0.00012843945423433,5000048404082.1,5000048418202.9,5000048418200.3,5000048418200.8,5000048404080.4,5000048404081.8,5000048404081.5,5000047229708.9,5000047229707.9,5000047229709.6,5000053404905.2,5000048404081.7,5000053404906.2,5000053404905.2,5000048418200.9,5000048418202.7,5000048418201.1,5000048404079.1,5000047229709.2,5000047229707.7,5000047229709,5000053404906.3,5000053404905.1,5000053404904.5,1.4971373520986e-12,1.5009287432487e-12,1.5009287434274e-12,1.5009287434595e-12,1.4971373522529e-12,1.4971373521353e-12,1.4971373521556e-12,1.4568548593399e-12,1.4568548593423e-12,1.4568548592767e-12,1.6561430836268e-12,1.4971373521954e-12,1.6561430836214e-12,1.6561430837033e-12,1.5009287433394e-12,1.5009287433165e-12,1.500928743439e-12,1.4971373522854e-12,1.456854859282e-12,1.4568548593715e-12,1.4568548593306e-12,1.6561430835621e-12,1.6561430836789e-12,1.6561430837419e-12,0.9999999999992,0.99999999240941,0.00021243406175473,0.00021243695280714,0.00021243695281005,0.00021243695280913,0.00021243406175627,0.00021243406175483,0.00021243406175534,0.00021243939071627,0.00021243939071737,0.00021243939071554,0.00021241565882057,0.00021243406175475,0.00021241565881947,0.00021241565882039,0.00021243695280927,0.00021243695280695,0.00021243695280897,0.00021243406175798,0.0002124393907164,0.00021243939071764,0.00021243939071606,0.00021241565881964,0.00021241565882065,0.00021241565882104,0.00018739937307483,-9.1075885511236e-23,6.3149572315563e-22,4.9982506321897e-21,-6.4567770398131e-22,-1.1577857055631e-21,1.520615349119e-21,1.2604286512742e-21,-8.6933614823549e-22,3.7220627064843e-21,8.7896605281767e-22,2.9003006230829e-21,2.4904613824791e-21,2.3395296198475e-21,-1.9757994414205e-21,4.401205961277e-21,3.5558187862372e-21,4.4770878409581e-22,-1.8424058541456e-21,1.3512498124454e-21,-3.555933963892e-21,1.2637266030749e-21,-9.4115822506014e-22,2.5474291210676e-21,-3.5537754511228e-21,15958294.194739,3984111.1067244,-2.3333883071238e-05,0.00022010600862323,4.6658241442398e-05,0.00032855333964572,15.011606616339,7.5060670256711,13.537489973042
6294627.0589708,0.00015867931472514,5000053823182.3,5000053860503.4,5000053860499.7,5000053860500.2,5000053823179.6,5000053823181.6,5000053823181.3,5000052519701.2,5000052519699.9,5000052519702.5,5000059388128.6,5000053823181.4,5000059388130.1,5000059388128.5,5000053860500.6,5000053860503,5000053860500.7,5000053823177.8,5000052519701.9,5000052519699.6,5000052519701.3,5000059388130.4,5000059388128.4,5000059388127.5,1.4781015026899e-12,1.4860455792251e-12,1.4860455794869e-12,1.4860455795274e-12,1.4781015029192e-12,1.478101502746e-12,1.4781015027732e-12,1.4463941331762e-12,1.4463941331708e-12,1.4463941330791e-12,1.6307535945408e-12,1.478101502835e-12,1.6307535945319e-12,1.630753594652e-12,1.4860455793539e-12,1.4860455793279e-12,1.4860455795027e-12,1.4781015029645e-12,1.4463941330767e-12,1.4463941332183e-12,1.4463941331628e-12,1.6307535944451e-12,1.6307535946093e-12,1.6307535947107e-12,0.99999999999931,0.99999999118296,0.00023782679621841,0.00023783005193505,0.0002378300519394,0.00023783005193824,0.00023782679622095,0.00023782679621873,0.00023782679621939,0.00023783454450233,0.00023783454450395,0.00023783454450113,0.00023779997718242,0.00023782679621873,0.00023779997718076,0.00023779997718226,0.00023783005193827,0.00023783005193499,0.00023783005193791,0.00023782679622336,0.00023783454450224,0.00023783454450433,0.00023783454450207,0.00023779997718082,0.00023779997718255,0.00023779997718328,0.00021727638924366,-1.5759059163005e-22,7.655853660064e-22,6.2835894489139e-21,-5.811027880325e-22,-1.6699294389397e-21,2.2196701146752e-21,1.4639530075514e-21,-1.3839220134176e-21,4.5532878670761e-21,1.1178934936082e-21,3.5847249671705e-21,3.6465098327727e-21,2.7607514144088e-21,-2.4247562507677e-21,5.37756320318e-21,4.1585228692265e-21,4.4701745851081e-22,-2.2954936507628e-21,1.5886504322883e-21,-4.5944623903909e-21,1.5911488598049e-21,-1.2008125378024e-21,3.0774975370673e-21,-4.3013091430806e-21,15947909.063631,3980224.9972296,-1.9978700714407e-05,0.00025554089121803,5.5024742469279e-05,0.00076140928211313,15.011875675612,7.5065057329335,13.654197678934
7924465.9623056,0.00019581008769515,5000059827452.8,5000059908279.7,5000059908274,5000059908274.8,5000059827448.5,5000059827451.4,5000059827451.3,5000058416960.6,5000058416958.7,5000058416962.8,5000065995049.5,5000059827450.9,5000065995051.9,5000065995049.4,5000059908275.5,5000059908278.9,5000059908275.4,5000059827446,5000058416962,5000058416958.3,5000058416960.8,5000065995052.6,5000065995049.4,5000065995047.9,1.4604344735693e-12,1.4722901099296e-12,1.4722901103307e-12,1.4722901103802e-12,1.460434473926e-12,1.4604344736595e-12,1.4604344736966e-12,1.4380477900837e-12,1.4380477900601e-12,1.4380477899313e-12,1.6050775706152e-12,1.4604344737974e-12,1.6050775706028e-12,1.6050775707876e-12,1.4722901101186e-12,1.4722901100899e-12,1.4722901103549e-12,1.4604344739929e-12,1.4380477899121e-12,1.4380477901384e-12,1.4380477900645e-12,1.605077570468e-12,1.6050775707099e-12,1.6050775708805e-12,0.99999999999822,0.99999998928401,0.00026636773758561,0.00026637121907179,0.00026637121907844,0.00026637121907695,0.00026636773758986,0.00026636773758642,0.0002663677375872,0.0002663786441768,0.00026637864417922,0.00026637864417476,0.0002663291591127,0.00026636773758662,0.00026632915911008,0.0002663291591126,0.00026637121907672,0.00026637121907203,0.00026637121907635,0.00026636773759332,0.00026637864417619,0.00026637864417976,0.00026637864417645,0.00026632915910989,0.0002663291591129,0.00026632915911422,0.00025410636330866,-2.3104413717386e-22,1.0389011018288e-21,8.323863956529e-21,-3.5626154307477e-22,-2.3411030894942e-21,3.3445520048795e-21,1.8128126281089e-21,-2.1081829767534e-21,5.6240526652803e-21,1.622427246704e-21,4.5869464019517e-21,5.4134107515601e-21,3.4983154936445e-21,-3.0826063330112e-21,6.9185934598911e-21,5.1228263993979e-21,5.7414979376848e-22,-2.9387313241046e-21,1.8673749046137e-21,-5.9555495390315e-21,2.1500773138235e-21,-1.626683247023e-21,3.7607609360754e-21,-5.5505519791619e-21,15934955.131609,3975399.0527882,-1.5329975022198e-05,0.00029848790189742,6.6193508017533e-05,0.010109044205565,15.020912132329,7.5158829467276,13.837531190211
