time,Ep_eff,cstrain_1,cstrain_10,cstrain_11,cstrain_12,cstrain_13,cstrain_14,cstrain_15,cstrain_16,cstrain_17,cstrain_18,cstrain_19,cstrain_2,cstrain_20,cstrain_21,cstrain_22,cstrain_23,cstrain_24,cstrain_3,cstrain_4,cstrain_5,cstrain_6,cstrain_7,cstrain_8,cstrain_9,cstrainfrac1,cstrainfrac2,eeq,gstrain_1,gstrain_10,gstrain_11,gstrain_12,gstrain_13,gstrain_14,gstrain_15,gstrain_16,gstrain_17,gstrain_18,gstrain_19,gstrain_2,gstrain_20,gstrain_21,gstrain_22,gstrain_23,gstrain_24,gstrain_3,gstrain_4,gstrain_5,gstrain_6,gstrain_7,gstrain_8,gstrain_9,rho_i,rho_m,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.39716411736214,3.7804375705224e-15,1.2852078387899e-15,1.5543017765374e-15,1.5543017765374e-15,1.5543017765374e-15,1.2852078387899e-15,1.2852078387899e-15,1.2852078387899e-15,1.3624937719188e-15,1.3624937719188e-15,1.3624937719188e-15,1.419790527241e-15,1.2852078387899e-15,1.419790527241e-15,1.419790527241e-15,1.5543017765374e-15,1.5543017765374e-15,1.5543017765374e-15,1.2852078387899e-15,1.3624937719188e-15,1.3624937719188e-15,1.3624937719188e-15,1.419790527241e-15,1.419790527241e-15,1.419790527241e-15,0.99999999999977,0.99999999999946,6.5285935442454e-07,1.9651072171787e-28,-2.6062795298434e-28,1.39403859516e-28,-2.7469898591236e-28,-6.9391133170801e-29,-1.862742718599e-28,7.601269983293e-29,1.3439296286309e-28,1.270140440454e-28,-2.2764602873854e-28,6.4381532133308e-29,-1.2824680867221e-28,3.4410003172621e-28,-3.5769246160031e-28,2.1163419251266e-28,3.0525141219912e-30,-1.9346672598551e-28,-1.1212728313562e-28,1.2193170327614e-28,3.5671407510196e-30,-1.1703634012689e-28,2.1289674591151e-28,2.7310467708332e-28,-3.8153988459277e-28,15999999.999993,3999999.9999996,-3.1847677307811e-07,6.6848524012695e-07,1.8962622055182e-07,-1.282649975859e-09,0.15898793303699,0.079493977331445,0.14633507999086
3.9716411736214,3.9801798134602e-13,1.2858953559276e-14,1.5552500385491e-14,1.5552500385491e-14,1.5552500385491e-14,1.2858953559276e-14,1.2858953559276e-14,1.2858953559276e-14,1.3631866976803e-14,1.3631866976803e-14,1.3631866976803e-14,1.4205962526149e-14,1.2858953559276e-14,1.4205962526149e-14,1.4205962526149e-14,1.5552500385491e-14,1.5552500385491e-14,1.5552500385491e-14,1.2858953559276e-14,1.3631866976803e-14,1.3631866976803e-14,1.3631866976803e-14,1.4205962526149e-14,1.4205962526149e-14,1.4205962526149e-14,0.99999999999986,0.99999999999957,6.5284178812053e-06,9.9228609697643e-28,2.3578652622043e-28,2.4632676296097e-27,-8.7425821685977e-28,5.5739707487893e-29,-6.3464971640482e-28,1.1037084541022e-27,9.7764555011566e-28,9.5952311235441e-29,-1.0179427858062e-27,1.1435398578022e-27,-4.940978310883e-28,2.1570813071445e-27,-3.4771631890031e-27,1.1617370066567e-27,5.4185861034246e-28,-1.9887147132497e-27,-6.804221215642e-28,7.738028658021e-28,6.8036413114282e-28,-8.8511286730418e-28,1.1598710567418e-28,2.1833238843888e-27,-3.7398244180288e-27,15999999.99952,3999999.9999564,-3.1847465679865e-06,6.6845993808632e-06,1.8962797508728e-06,-1.2820923064321e-07,1.5898782209071,0.79494019167635,1.4633461596854
39.716411736214,4.0023656504795e-11,1.2937341194381e-13,1.5657304887838e-13,1.5657304887838e-13,1.5657304887838e-13,1.2937341194381e-13,1.2937341194381e-13,1.2937341194381e-13,1.3709178346763e-13,1.3709178346763e-13,1.3709178346763e-13,1.4296068449903e-13,1.2937341194381e-13,1.4296068449903e-13,1.4296068449903e-13,1.5657304887838e-13,1.5657304887838e-13,1.5657304887838e-13,1.2937341194381e-13,1.3709178346763e-13,1.3709178346763e-13,1.3709178346763e-13,1.4296068449903e-13,1.4296068449903e-13,1.4296068449903e-13,0.99999999998595,0.99999999992766,6.5266622631133e-05,-3.1652424340871e-25,5.903027652493e-24,6.3664266845339e-24,1.2113091712283e-24,9.0935392992389e-26,1.3341566081209e-24,1.4929554239743e-24,2.3713270432719e-24,-1.1363750985033e-24,-4.3775716727756e-26,2.8681255523567e-24,-2.1828763345937e-25,2.1835071234586e-24,-7.6316338612767e-24,-2.9033324107062e-25,1.3705373668464e-24,-3.0725575370724e-24,-1.6703223708223e-24,-1.415067721595e-25,4.6895365093397e-24,5.414906823512e-25,-3.9328450168997e-24,2.8757278635673e-24,-1.0646057977269e-23,15999999.96957,3999999.9956231,-3.1845350683327e-05,6.682070675892e-05,1.8964549296087e-05,-1.2826131105032e-05,15.898671236353,7.9494436874067,14.632997834451
397.16411736214,2.7634145221126e-09,6.3093013010509e-13,7.6562701138776e-13,7.6562701138775e-13,7.6562701138769e-13,6.3093013010498e-13,6.3093013010502e-13,6.30930130105e-13,6.6735620509566e-13,6.6735620509573e-13,6.6735620509563e-13,6.9789264892769e-13,6.3093013010498e-13,6.9789264892765e-13,6.9789264892791e-13,7.6562701138769e-13,7.6562701138766e-13,7.6562701138769e-13,6.3093013010499e-13,6.6735620509569e-13,6.6735620509576e-13,6.6735620509567e-13,6.9789264892767e-13,6.9789264892789e-13,6.9789264892797e-13,0.99999912627076,0.99999445836188,0.00024624852001111,-6.0226065441585e-19,3.3620206324937e-18,2.6516034786437e-18,2.9516364597319e-19,-9.1143535389177e-20,7.589892442581e-19,1.2494588675558e-19,7.7311417018409e-19,1.4937242450842e-20,-6.1672393781999e-20,9.5448360467826e-19,-1.3640688051799e-20,4.6607529579802e-19,-4.0970679244567e-18,-4.3623233155487e-19,3.295766253973e-19,-9.1245623266008e-19,-6.4334180506652e-19,-2.7626206942797e-19,2.5806594567537e-18,4.8819228340569e-19,-1.7585287457928e-18,2.3335152430878e-18,-7.2590218502715e-18,15999998.555001,3999999.6984929,-0.00012024338149368,0.0002520171591757,7.1646206415748e-05,-0.000181975680426,60.044438572767,30.023754380911,55.25948670331
3971.6411736214,3.4440056716428e-08,6.3093039940468e-13,7.6562373749011e-13,7.6562373748988e-13,7.6562373748874e-13,6.3093039940258e-13,6.3093039940335e-13,6.3093039940292e-13,6.6735538715048e-13,6.6735538715178e-13,6.6735538714986e-13,6.9789008718321e-13,6.3093039940263e-13,6.9789008718249e-13,6.9789008718732e-13,7.6562373748883e-13,7.6562373748813e-13,7.6562373748877e-13,6.3093039940282e-13,6.6735538715108e-13,6.6735538715237e-13,6.6735538715064e-13,6.9789008718284e-13,6.9789008718685e-13,6.978900871883e-13,0.99999912624639,0.99999445816539,0.00024627470123715,-6.0232871840061e-19,3.3616233492454e-18,2.6514102689464e-18,2.9523570766683e-19,-9.115969258159e-20,7.5898790609589e-19,1.2494537957384e-19,7.730857370488e-19,1.5300067607807e-20,-6.1673395423857e-20,9.5443294215598e-19,-1.3618424646106e-20,4.6610822081683e-19,-4.0970527971359e-18,-4.3613157352789e-19,3.2952089811339e-19,-9.1234505395305e-19,-6.4335559424617e-19,-2.7622038055941e-19,2.5803726875893e-18,4.8814978310163e-19,-1.7583131474752e-18,2.333514392996e-18,-7.2590559261973e-18,15999982.481767,3999996.2433091,-0.00012023780832326,0.00025205150564389,7.1665506256551e-05,-0.00018202007873302,60.044438300685,30.023754406237,55.259093266478
39716.411736214,3.5119761442172e-07,6.3093087107678e-13,7.6558795845169e-13,7.6558795844927e-13,7.655879584374e-13,6.3093087105482e-13,6.3093087106282e-13,6.3093087105839e-13,6.673449158973e-13,6.673449159109e-13,6.6734491589077e-13,6.978613046798e-13,6.3093087105529e-13,6.9786130467221e-13,6.9786130472275e-13,7.655879584383e-13,7.6558795843097e-13,7.655879584377e-13,6.3093087105729e-13,6.6734491590351e-13,6.6734491591698e-13,6.6734491589896e-13,6.9786130467584e-13,6.9786130471787e-13,6.9786130473302e-13,0.99999912604873,0.99999445651661,0.00024653658469883,-6.0298259422059e-19,3.3574532187113e-18,2.6493173743236e-18,2.959559849046e-19,-9.1307922784851e-20,7.5895562362041e-19,1.2495506314083e-19,7.7279481659955e-19,1.8953541381745e-20,-6.1651939272754e-20,9.5387517087376e-19,-1.3398613946927e-20,4.6642594164404e-19,-4.0963985406265e-18,-4.3507612690417e-19,3.2895700745419e-19,-9.1115296127311e-19,-6.4346570001683e-19,-2.7578319760054e-19,2.5773893153782e-18,4.8771529564784e-19,-1.756069623427e-18,2.3332267707584e-18,-7.2588651605373e-18,15999821.751735,3999961.6922554,-0.00012018206692736,0.00025239496486662,7.18584993939e-05,-0.00018191543483411,60.04443808385,30.023754928048,55.255162931018
397164.11736214,3.5178880400923e-06,6.3093515657396e-13,7.6523093753716e-13,7.6523093751315e-13,7.6523093739526e-13,6.309351563541e-13,6.3093515643398e-13,6.3093515638993e-13,6.6724001921949e-13,6.672400193563e-13,6.6724001915361e-13,6.9757427536125e-13,6.3093515635872e-13,6.9757427528499e-13,6.9757427579381e-13,7.6523093740342e-13,7.652309373303e-13,7.6523093739781e-13,6.3093515637898e-13,6.6724001928053e-13,6.6724001941705e-13,6.6724001923672e-13,6.9757427532071e-13,6.9757427574367e-13,6.9757427589751e-13,0.99999912404327,0.99999443993852,0.00024916126548283,-6.095378678426e-19,3.3159727709147e-18,2.628520055677e-18,3.0318043727143e-19,-9.2788929652147e-20,7.5859413686263e-19,1.2503325724365e-19,7.6992233111105e-19,5.5672372631555e-20,-6.1455111951106e-20,9.483335370948e-19,-1.1212795919832e-20,4.6954343445814e-19,-4.0896195799571e-18,-4.2456105112779e-19,3.2333806385418e-19,-8.992625965537e-19,-6.4458460815331e-19,-2.7136429113365e-19,2.5475237566135e-18,4.8328437513523e-19,-1.7337675324313e-18,2.330244159128e-18,-7.2565612605369e-18,15998214.682616,3999616.2600476,-0.00011962346538358,0.00025582761695863,7.3788199950241e-05,-0.00018095417393834,60.04443588068,30.023760028958,55.216073596986
44562.546906687,3.9414079302374e-07,6.3093104783751e-13,7.6557217320363e-13,7.6557217320024e-13,7.6557217318365e-13,6.3093104780682e-13,6.30931047818e-13,6.3093104781181e-13,6.673402734385e-13,6.6734027345752e-13,6.6734027342937e-13,6.9784859740856e-13,6.3093104780747e-13,6.9784859739795e-13,6.9784859746863e-13,7.6557217318491e-13,7.6557217317466e-13,7.6557217318407e-13,6.3093104781027e-13,6.6734027344718e-13,6.6734027346602e-13,6.6734027344083e-13,6.9784859740302e-13,6.978485974618e-13,6.9784859748299e-13,0.99999912596168,0.99999445579141,0.00024657208990116,-6.0327054481241e-19,3.3556165666069e-18,2.6483957487764e-18,2.962732785423e-19,-9.1373125829161e-20,7.5894114246871e-19,1.2495941867721e-19,7.7266689339856e-19,2.0563566976826e-20,-6.1642355097677e-20,9.5362950091893e-19,-1.3301940868464e-20,4.6656552182067e-19,-4.0961059382753e-18,-4.3461110458399e-19,3.2870874658135e-19,-9.1062782269649e-19,-6.4351415505566e-19,-2.7559026329284e-19,2.576074804272e-18,4.8752347112828e-19,-1.7550817146983e-18,2.3330983546429e-18,-7.2587758074808e-18,15999799.960996,3999957.0080975,-0.00012017450869168,0.00025244151726462,7.1884664547813e-05,-0.00018190080053999,60.044438055628,30.023754998934,55.254629494811
50000,4.4232343472588e-07,6.3093113174921e-13,7.6556539889643e-13,7.6556539889263e-13,7.6556539887401e-13,6.3093113171476e-13,6.309311317273e-13,6.3093113172036e-13,6.6733828659053e-13,6.6733828661188e-13,6.6733828658027e-13,6.9784314734714e-13,6.3093113171549e-13,6.9784314733523e-13,6.9784314741457e-13,7.6556539887541e-13,7.6556539886392e-13,7.6556539887448e-13,6.3093113171863e-13,6.6733828660027e-13,6.6733828662142e-13,6.6733828659314e-13,6.9784314734092e-13,6.978431474069e-13,6.9784314743069e-13,0.9999991259242,0.99999445547928,0.00024661193688343,-6.0339434960714e-19,3.3548276718955e-18,2.6479999168586e-18,2.9640969560169e-19,-9.1401176991062e-20,7.589348604811e-19,1.2496121249374e-19,7.7261194193229e-19,2.1255800207104e-20,-6.1638326953119e-20,9.5352399322314e-19,-1.3260390506984e-20,4.6662544769066e-19,-4.0959807488666e-18,-4.3441136400801e-19,3.2860205946886e-19,-9.1040221898827e-19,-6.4353505501316e-19,-2.7550729610862e-19,2.5755098962748e-18,4.8744091070019e-19,-1.7546573700164e-18,2.3330433216283e-18,-7.2587377495113e-18,15999775.511489,3999951.7524211,-0.00012016602662254,0.00025249375807993,7.1914021918577e-05,-0.00018188480097484,60.044438023028,30.023755078269,55.254031950971
56100.922715098,4.963847481126e-07,6.3093122550946e-13,7.6555779865081e-13,7.6555779864654e-13,7.6555779862565e-13,6.309312254708e-13,6.3093122548487e-13,6.3093122547708e-13,6.6733605713698e-13,6.6733605716094e-13,6.6733605712547e-13,6.9783703295616e-13,6.3093122547161e-13,6.9783703294279e-13,6.9783703303184e-13,7.6555779862722e-13,7.6555779861432e-13,7.6555779862618e-13,6.3093122547514e-13,6.673360571479e-13,6.6733605717165e-13,6.6733605713992e-13,6.9783703294917e-13,6.9783703302323e-13,6.9783703304994e-13,0.99999912588213,0.99999445512901,0.0002466566487296,-6.0353326968792e-19,3.353942681384e-18,2.6475558874288e-18,2.9656277293023e-19,-9.1432650254023e-20,7.5892777785336e-19,1.2496321114551e-19,7.7255031307651e-19,2.2032630951333e-20,-6.1633821015945e-20,9.5340563763731e-19,-1.3213781489551e-20,4.666926377769e-19,-4.0958400842924e-18,-4.3418727918183e-19,3.2848236982697e-19,-9.1014911194821e-19,-6.4355852033258e-19,-2.7541416588051e-19,2.5748760424292e-18,4.8734820932886e-19,-1.7541813487563e-18,2.3329814813923e-18,-7.2586947165758e-18,15999748.07882,3999945.8554992,-0.00012015650891482,0.00025255237214485,7.1946961300194e-05,-0.00018186684722795,60.044437986504,30.023755167266,55.253361606102
62946.270589709,5.5704191031775e-07,6.3093133021925e-13,7.6554927185571e-13,7.6554927185093e-13,7.6554927182749e-13,6.3093133017586e-13,6.3093133019166e-13,6.3093133018292e-13,6.673335554309e-13,6.673335554578e-13,6.6733355541798e-13,6.9783017335038e-13,6.3093133017678e-13,6.9783017333538e-13,6.9783017343533e-13,7.6554927182925e-13,7.6554927181477e-13,7.6554927182808e-13,6.3093133018074e-13,6.6733355544315e-13,6.6733355546982e-13,6.673335554342e-13,6.9783017334254e-13,6.9783017342566e-13,6.9783017345565e-13,0.99999912583491,0.99999445473595,0.00024670681976471,-6.0368915154961e-19,3.352949912023e-18,2.64705780567e-18,2.9673454722829e-19,-9.1467963016909e-20,7.5891978804845e-19,1.2496543600423e-19,7.7248119919437e-19,2.2904415938679e-20,-6.162878253374e-20,9.5327287315195e-19,-1.316149947744e-20,4.6676796607156e-19,-4.0956820046868e-18,-4.3393588686099e-19,3.2834809504913e-19,-9.0986515199013e-19,-6.435848679609e-19,-2.7530962233987e-19,2.5741648255798e-18,4.8724411227323e-19,-1.7536473716413e-18,2.3329119794156e-18,-7.2586460160488e-18,15999717.299023,3999939.2390996,-0.00012014582902839,0.00025261813683109,7.1983919730228e-05,-0.00018184669450848,60.044437945601,30.023755267103,55.252609605686
70626.877231138,6.2509957400995e-07,6.3093144708743e-13,7.6553970566711e-13,7.6553970566174e-13,7.6553970563545e-13,6.3093144703874e-13,6.3093144705646e-13,6.3093144704666e-13,6.6733074819586e-13,6.6733074822606e-13,6.6733074818136e-13,6.978224778204e-13,6.3093144703977e-13,6.9782247780356e-13,6.9782247791575e-13,7.6553970563741e-13,7.6553970562117e-13,7.655397056361e-13,6.3093144704421e-13,6.6733074820961e-13,6.6733074823954e-13,6.6733074819957e-13,6.9782247781158e-13,6.9782247790489e-13,6.9782247793855e-13,0.99999912578189,0.99999445429485,0.00024676311701834,-6.0386406765431e-19,3.3518362662352e-18,2.6464991090979e-18,2.9692730473626e-19,-9.1507583563754e-20,7.5891076923354e-19,1.2496791008172e-19,7.7240369597591e-19,2.3882784432896e-20,-6.1623150979937e-20,9.5312395000937e-19,-1.310285593174e-20,4.668524099915e-19,-4.0955043202466e-18,-4.3365386412869e-19,3.2819746043907e-19,-9.0954658240715e-19,-6.4361445453141e-19,-2.7519226004767e-19,2.5733668004394e-18,4.8712720719279e-19,-1.7530483999547e-18,2.3328338508555e-18,-7.2585908486494e-18,15999682.763729,3999931.815447,-0.00012013384493805,0.00025269192429108,7.2025387563948e-05,-0.00018182407544973,60.044437899802,30.023755379099,55.251766022163
79244.659623056,7.0146053227316e-07,6.3093157743759e-13,7.6552897352679e-13,7.6552897352076e-13,7.6552897349126e-13,6.3093157738295e-13,6.3093157740284e-13,6.3093157739184e-13,6.6732759808051e-13,6.673275981144e-13,6.6732759806423e-13,6.9781384464554e-13,6.3093157738411e-13,6.9781384462664e-13,6.9781384475256e-13,7.6552897349346e-13,7.6552897347524e-13,7.65528973492e-13,6.3093157738909e-13,6.6732759809592e-13,6.6732759812952e-13,6.6732759808467e-13,6.9781384463564e-13,6.9781384474036e-13,6.9781384477816e-13,0.99999912572236,0.99999445379983,0.00024682628914373,-6.0406034393143e-19,3.3505870620813e-18,2.6458724429839e-18,2.9714361187056e-19,-9.155203727833e-20,7.5890058182278e-19,1.2497065803962e-19,7.7231679105112e-19,2.4980795792359e-20,-6.1616859590819e-20,9.5295690707627e-19,-1.3037079240484e-20,4.6694706218141e-19,-4.0953045570268e-18,-4.3333748498292e-19,3.2802847602647e-19,-9.0918919020047e-19,-6.4364768146899e-19,-2.7506049877092e-19,2.5724713678074e-18,4.8699590380688e-19,-1.7523765446722e-18,2.3327460051915e-18,-7.2585282895831e-18,15999644.014752,3999923.4860599,-0.00012012039723266,0.00025277471300357,7.2071914978403e-05,-0.00018179868448788,60.044437848532,30.023755504729,55.250819725908
88913.970501947,7.8713768258247e-07,6.309317227137e-13,7.6551693350302e-13,7.6551693349626e-13,7.6551693346317e-13,6.3093172265238e-13,6.309317226747e-13,6.3093172266236e-13,6.6732406315739e-13,6.6732406319542e-13,6.6732406313912e-13,6.9780415976524e-13,6.3093172265368e-13,6.9780415974403e-13,6.9780415988536e-13,7.6551693346563e-13,7.6551693344518e-13,7.6551693346399e-13,6.3093172265928e-13,6.6732406317467e-13,6.6732406321239e-13,6.6732406316207e-13,6.9780415975413e-13,6.9780415987166e-13,6.9780415991409e-13,0.99999912565553,0.99999445324429,0.00024689717643698,-6.0428059101441e-19,3.3491858436715e-18,2.6451695659939e-18,2.9738634977981e-19,-9.1601913606929e-20,7.5888906556877e-19,1.2497370604441e-19,7.7221935147749e-19,2.6213116889254e-20,-6.1609834889135e-20,9.5276954665041e-19,-1.2963304840787e-20,4.6705314352746e-19,-4.0950799185021e-18,-4.3298257176132e-19,3.2783891066302e-19,-9.0878825088022e-19,-6.4368500081043e-19,-2.7491256144383e-19,2.5714666331715e-18,4.8684841055922e-19,-1.7516229649379e-18,2.3326472090881e-18,-7.2584572664292e-18,15999600.53801,3999914.1404446,-0.00012010530697912,0.0002528676007235,7.2124119269387e-05,-0.00018177017799194,60.044437791161,30.02375564565,55.249758240966
