time,Ep_eff,eeq,k_r,rho_i,rho_m,strain_xx,stress_xx,tau_by_tauf,taup,w
0,0,0,0,0,0,0,0,0,0,0
7.4416e-06,1.7539333215513e-39,6.6315635816635e-06,0,8000000,8000000,7.4415721309357e-06,1.6936659330108,1,0,1
2.420109824e-05,5.7040303995474e-39,2.1567033769991e-05,0,8000000,8000000,2.4200803489412e-05,5.5085538326393,1,0,1
6.1716569435341e-05,1.4546165827843e-38,5.5000889365418e-05,0,8000000,8000000,6.1714652632478e-05,14.050560413649,1,0,1
0.00015506706672013,3.654822825678e-38,0.0001382034354237,0,8000000,8000000,0.00015505496667918,35.321062462828,1,0,1
0.00038735297612382,9.1296400239953e-38,0.00034529011248526,0,8000000,8000000,0.0003872774849215,88.343431030173,1,0,1
0.00096535465021121,2.2752737154912e-37,0.00086091099811375,0,8000000,8000000,0.00096488595091924,220.86689226274,1,0,1
0.0018158134217021,0.00011241781976032,0.0016330148313172,50.569798183534,8015937.6811843,7980321.7259912,0.001814156603243,395.92101507174,1.0169908790315,8.7495162387487,0.98125481075275
0.0019589667824083,0.00021973576328015,0.0017718926616372,69.149931038469,8030342.2203173,7962396.6838168,0.0019570387559957,408.70985991087,1.0241791963056,11.492592122021,0.97354692573362
0.0023151781529208,0.00055240214533877,0.0021260771245692,92.765731837294,8073281.5465319,7907821.9971754,0.0023124849410315,426.96350309638,1.0396028634911,14.688488791583,0.95735491170617
0.0032015460303943,0.0014584094462189,0.0030298968642486,120.01895551311,8178297.0965993,7766566.8367894,0.0031963941254142,448.83817354215,1.050879158148,18.29736919837,0.94547538532146
0.0052803817078595,0.0035960843725939,0.0051805653054162,137.7463585012,8374973.1209261,7517613.1725385,0.0052663723200048,467.44889566992,1.0581082640176,20.792789620845,0.93747000550866
0.0060245417078595,0.0043591416700114,0.0059513310549741,139.00991615733,8432278.4956034,7447455.4918453,0.0060063130980799,470.83296885966,1.0561648207334,21.002144180389,0.9394966313671
0.0078602718838595,0.0062411955840228,0.0078510053042523,141.46388044557,8556076.8121537,7296982.4627413,0.0078292852390463,477.02729362374,1.0573111685322,21.350664722455,0.93813374967561
0.01036027188386,0.0088024618316088,0.010433508865123,142.41955801227,8694186.2890575,7129492.7533618,0.010306561143203,482.78660041414,1.0558062542711,21.454601707947,0.93963880826971
0.01286027188386,0.011362799822634,0.013011981368649,143.06165670732,8806880.81432,6988052.679446,0.012777683122958,487.08224836904,1.0521622840882,21.53923716853,0.94353446301483
0.01536027188386,0.013922167507062,0.015587381929887,143.17428092996,8900611.7028461,6873629.2048984,0.015242684522358,490.48689810299,1.0521798879594,21.53376058038,0.94345587772205
0.01786027188386,0.016480215391311,0.018160112837678,143.33002766797,8981147.8802917,6782827.6245712,0.017701592481644,493.32257302546,1.0532561327371,21.581726358339,0.94222259762342
0.02036027188386,0.019036240239931,0.020729890644267,143.04311163388,9051513.3780382,6707237.0858668,0.020154428969896,495.73280670989,1.0508761622572,21.525664079028,0.9447753138208
0.02286027188386,0.021589805766499,0.023296620352324,142.8207093992,9114418.5457062,6641398.3111581,0.022601223762911,497.8129378224,1.0505611487532,21.490461916393,0.94506613826932
0.02536027188386,0.024140973268883,0.025860595378074,142.55765705588,9171467.9539043,6584114.499474,0.025042009431243,499.6405939634,1.0503657409065,21.426574218689,0.9452460345386
0.02786027188386,0.026690623227418,0.028422690421235,142.51580372471,9223578.7454062,6532973.9452045,0.027476814636602,501.26722526634,1.050533456199,21.416082343036,0.94503005539109
0.02860443188386,0.027449623884967,0.029185127804723,142.39870535501,9237783.3156061,6518937.7193649,0.028200417932394,501.65736028892,1.049721956846,21.402132421815,0.94589791324487
0.03004016205986,0.028912815187083,0.030655571712641,142.69447452999,9264624.2532598,6492898.9154638,0.029595001713915,502.5547761463,1.0503491157598,21.437321605579,0.94519970770247
0.03093315405986,0.029823194029572,0.031570007372683,142.34754561802,9280408.3323088,6477493.2272712,0.030461416342881,502.99574587653,1.0498561167938,21.400279249941,0.94571492943863
0.03302005223586,0.031949493556912,0.033706240449713,142.26355635053,9316622.8341651,6443325.0128128,0.032483266521337,504.09773198676,1.0494308421581,21.383722874125,0.94616605680356
0.03552005223586,0.034495898336495,0.036264338759947,142.07843447123,9357433.4157036,6406298.2186784,0.034899944143343,505.29755611244,1.0492807678057,21.364489853884,0.94630398119752
0.03802005223586,0.03704138511522,0.038821388353548,141.92358799102,9395148.9505401,6373023.1193982,0.037310760216809,506.39362286491,1.0484753418378,21.351610024513,0.94716560140335
0.04052005223586,0.039586263684042,0.041377633056892,141.79456178833,9429662.4895169,6342466.5688692,0.039715738157533,507.3862212075,1.0483627541277,21.343031288928,0.94726926139156
0.04302005223586,0.04213076882271,0.043933366242311,141.7377886352,9461854.1137848,6314562.6533429,0.042114900334897,508.2985034338,1.0482956827879,21.352689348473,0.94732956132956
0.04552005223586,0.044675122316987,0.046488777684566,141.70393764085,9490875.1672399,6289057.0058324,0.044508271852832,509.12033750975,1.0491205414559,21.367245178472,0.94639269721565
0.04802005223586,0.047219445538393,0.049044033730921,141.56172373693,9517613.4689644,6265150.6486316,0.046895878260822,509.8732811556,1.0486859159399,21.33489417133,0.94685213666909
0.05052005223586,0.049763892228553,0.051599314874114,141.52900582288,9543116.4272366,6242676.0666901,0.049277744874028,510.58333839371,1.0485942754434,21.332232665408,0.94693694032386
0.05302005223586,0.052308681759846,0.054154789230229,141.49115195322,9567172.2145942,6221443.5145082,0.051653898573553,511.24811934923,1.0482024073769,21.327882701357,0.9473570551522
