time,Ep_eff,Phi,eeq,phi_1,phi_2,rho_i,rho_m,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0025830812468784,1.9976580863321e-21,90.287237728265,7.0630014035681e-06,6.6107837024378,0.99204084537713,16000000,4000000,-2.136150136007e-06,-1.8977076455128e-06,7.7492129382444e-06,-1.7049292773541e-07,-1.7567199882036e-07,1.567979671108,1.6976235584338
0.018444056862426,8.3470414830799e-19,90.287547719651,5.0433921030444e-05,6.6107987314535,0.99209975604298,16000000,4000000,-1.5255130195836e-05,-1.3552353959208e-05,5.5330600197187e-05,-8.6883960531372e-06,-8.9530910331288e-06,11.198913666837,12.124533330827
0.1,2.4057483144832e-13,90.289186005251,0.00027349544391141,6.6108750865336,0.99240244271317,16000000.000168,4000000.0000292,-8.2783944386089e-05,-7.354482823052e-05,0.00029995384460858,-0.00025378497409069,-0.00026175520657386,60.81262906788,65.828906742553
0.20668493909835,7.1450922529776e-10,90.291451147611,0.00056540659805989,6.6109729546761,0.99279783344611,16000000.458925,4000000.0797485,-0.00017127817248424,-0.00015216567106158,0.00061985769292211,-0.0010876371608778,-0.0011215137178598,125.92036968484,136.28218586921
0.40668493909835,2.1450303305911e-05,90.295962742205,0.0011159436872989,6.6114467179283,0.9934389967957,16013228.452845,4002298.6087705,-0.00034291322831063,-0.0003044248867352,0.001219291784236,-0.0035761112662177,-0.003751533004051,244.6181802847,264.91107126883
0.60668493909835,0.00041694893074141,90.298396185267,0.0017057791278476,6.6160304735312,0.99228373768019,16269634.777357,4046834.7867016,-0.00059709153790572,-0.00053292690458095,0.0018183575280392,-0.011910582890992,-0.011616707371289,295.54122543105,323.08220439328
0.80668493909835,0.0010128051338546,90.30160835092,0.0023124232430209,6.6207407858791,0.99005394874702,16690513.597416,4119894.8066306,-0.00089519315156285,-0.00080437149450363,0.0024170587250597,-0.014288286415594,-0.014190838043462,308.58261880694,340.02632438652
1.0066849390983,0.0016194367361445,90.304350321058,0.0029247222799585,6.6248492431523,0.98687979342171,17157972.216895,4200992.7709167,-0.0012019496070549,-0.0010820464384779,0.0030153944848386,-0.020279084734641,-0.020572796614507,314.95973560066,348.54122806645
1.2066849390983,0.0022236723534006,90.305802571524,0.0035395523705415,6.6289245053956,0.98325625135238,17651162.607601,4286508.460534,-0.0015130827380122,-0.0013605106365174,0.0036133658722968,-0.025939291649657,-0.02640428921317,318.87245994559,353.61024255066
1.4066849390983,0.0028275152493409,90.306307605116,0.0041551403400097,6.6330516556274,0.97957291546709,18161730.287328,4374990.5206187,-0.001826682111806,-0.0016387434539016,0.0042109740305925,-0.030886162134318,-0.0314481460574,321.5925392827,357.01791201705
1.6066849390983,0.0034315426940108,90.30621854421,0.0047706217756467,6.6372314105616,0.97588946011227,18685056.669624,4465636.2735929,-0.0021416633907022,-0.0019165648400588,0.0048082199298571,-0.035796351107696,-0.036415385944899,323.68707960359,359.57967025917
1.8066849390983,0.0040359269018757,90.305764828629,0.0053857295245918,6.6414524462968,0.97222984797673,19218578.566649,4558000.1139548,-0.0024573120372649,-0.0021940998728307,0.0054051043516487,-0.040767819713417,-0.041405436377667,325.42609224734,361.68058561625
2.0066849390983,0.004640778774965,90.305094435298,0.0060004763960945,6.6457044056796,0.96860197247809,19760759.853645,4651814.8290124,-0.0027731909051425,-0.0024714819715085,0.0060016278128137,-0.045642193393411,-0.046302223645237,326.95040391857,363.51245965553
2.2066849390983,0.0052461319126971,90.304299532409,0.0066149280036087,6.649987720054,0.96500167895561,20310598.388448,4746905.8939702,-0.0030890713825628,-0.0027487756227029,0.0065977907331613,-0.0503921807,-0.051017457597579,328.33772557041,365.17843481558
2.4066849390983,0.0058519384987292,90.303427244477,0.0072291283401675,6.654302104251,0.96142348212733,20867412.938562,4843154.5239512,-0.0034048310319035,-0.0030260094337455,0.0071935935657977,-0.055023308077619,-0.055563751151446,329.63380062882,366.7376820057
2.6066849390983,0.0064580980561857,90.302508719244,0.0078430989790323,6.6586477664428,0.95786478838367,21430750.18018,4940481.5597739,-0.0037204192687178,-0.0033031838463151,0.0077890367914106,-0.059620114281007,-0.060102628388482,330.86437850933,368.22108802512
2.8066849390983,0.0070644818515668,90.301562372092,0.0084568443134824,6.6630275832746,0.95432441413594,22000283.005145,5038829.8307718,-0.0040358322868247,-0.0035802668771227,0.0083841208947539,-0.064188181369759,-0.064618312844455,332.04776035468,369.64855348923
3.0066849390983,0.0076709998070894,90.300597503765,0.009070367393859,6.6674414808507,0.95080033294828,22575793.743755,5138161.1953989,-0.0043510910291319,-0.0038572247940651,0.0089788463542601,-0.068662908152282,-0.069080207613661,333.19139273566,371.02772485492
3.2066849390983,0.0082775696338343,90.299619400732,0.0096836706412298,6.6718874403016,0.94729089720214,23157086.910524,5238441.4240224,-0.0046662092025574,-0.0041340236540044,0.0095732136183688,-0.073013780081954,-0.073292735188713,334.30535946684,372.36970584251
3.4066849390983,0.0088841838232816,90.29863370102,0.010296776047011,6.6763630343389,0.9437981835195,23744016.796035,5339644.9223104,-0.0049811814002817,-0.0044106675296539,0.010167223056502,-0.077421060440707,-0.077631733044199,335.39177483591,373.67852599878
3.6066849390983,0.0094908218649026,90.297644229838,0.0109097036622,6.680866239583,0.94032293945195,24336428.686302,5441744.5776144,-0.0052959893485953,-0.0046871603562351,0.010760874986929,-0.081746945294034,-0.081856739846054,336.45737748623,374.96275368891
