time,Ep_eff,eeq,gstrain_1,gstrain_10,gstrain_11,gstrain_12,gstrain_13,gstrain_14,gstrain_15,gstrain_16,gstrain_17,gstrain_18,gstrain_19,gstrain_2,gstrain_20,gstrain_21,gstrain_22,gstrain_23,gstrain_24,gstrain_3,gstrain_4,gstrain_5,gstrain_6,gstrain_7,gstrain_8,gstrain_9,rho_i,rho_m,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0025958682112,1.0448932511017e-50,2.3090167190907e-07,2.1489494047657e-50,-1.1249559323415e-48,7.5261974222006e-49,-2.4293264281676e-49,1.5906781896614e-49,1.6827140182467e-48,-8.0130510436483e-49,1.7784832937237e-48,1.5149262974942e-49,4.1920999621845e-49,8.1682199544619e-49,-1.2240186418969e-48,1.1539111078322e-49,2.2434112574178e-49,5.608308768356e-50,1.5191892040258e-48,0,9.5727807218251e-49,-1.4554703964971e-48,5.5041604333605e-49,-1.5802260038715e-49,6.5618390648949e-50,-1.0228502605666e-49,-2.6855385783842e-49,16000000,4000000,-6.916587369215e-08,-6.3118058744707e-08,2.5958678692721e-07,-1.1821972966841e-10,-1.1659570114313e-10,0.059272889513925,0.061948463271258
0.015485277857324,2.6509215889421e-49,1.3774119894345e-06,4.072336805376e-48,-4.5509949330306e-48,3.7099532723294e-48,-1.2840694000578e-47,-6.4874121678839e-48,6.5430764289043e-48,-8.4329701625204e-48,5.1716075421609e-48,-3.9278267019785e-48,-2.0877186534523e-48,-1.9151680669381e-48,-1.0801298584185e-47,-5.0020795121025e-48,-7.1865805600733e-48,-4.5703112203804e-48,1.0338272256316e-48,0,4.6825866631035e-48,-8.4392167398004e-48,2.0254203941245e-48,1.6438323366339e-49,1.8964389814093e-48,-1.1983566289973e-48,1.9712854606503e-48,16000000,4000000,-4.1260071187599e-07,-3.7652320673731e-07,1.548526571148e-06,-4.1969345403189e-09,-4.1709678896058e-09,0.35358646396693,0.36954717964717
0.08308168705724,5.9684785582208e-47,7.3901341765957e-06,-1.4089652440684e-46,-1.616436507469e-46,5.5017043250872e-47,1.8075269671344e-46,-3.7023394882802e-47,1.1871291578381e-46,5.6480951537461e-47,1.3177685926696e-46,6.5031977278988e-47,1.080862294321e-46,5.3468898332657e-47,-8.6416206525767e-47,-4.6163863127027e-47,-6.6216278375296e-47,5.8232541113416e-47,2.0852402439956e-46,0,7.1046089563251e-47,-3.1783207316649e-47,5.3213372803671e-47,-5.0349947586485e-48,8.0539612570159e-47,-7.1000483592538e-47,1.005794624723e-46,16000000,4000000,-2.2137324269324e-06,-2.0201655195355e-06,8.3081337456522e-06,-1.2085159581033e-07,-1.2008843484832e-07,1.8971343776351,1.9827659233711
0.50162083592381,4.7264487010795e-41,4.4620657067351e-05,2.0259247408145e-41,-1.0526123200098e-41,-2.8713745443361e-42,-1.1503379234814e-40,-8.3969889742563e-41,-5.1255763359839e-42,-3.4340777841482e-41,-2.5673466561828e-41,-1.3974052007813e-41,-2.254765120597e-41,-1.7904794631475e-41,-3.7482685477836e-41,-4.5833578900578e-41,-7.1439778285473e-41,-9.3334828866473e-42,-2.5886538510482e-41,0,-3.9356525159422e-42,-2.9820657000368e-42,2.9262298794497e-42,2.7719881615118e-42,1.2444042452168e-41,-1.7991954072879e-42,2.2162161204922e-41,16000000,4000000,-1.3367499680929e-05,-1.2198665706375e-05,5.0160809209761e-05,-4.4026891991741e-06,-4.3752755692143e-06,11.456933810804,11.973913899206
2.2375142432667,1.3172652515701e-30,0.00019906007243105,1.583852810617e-31,-2.8529141182637e-32,5.1075867094044e-33,-2.5994023248322e-30,-1.3936526895539e-30,-6.040487915231e-32,-3.079723197164e-31,-4.0258247492153e-31,-1.1531457591773e-31,-6.1195279019245e-32,-1.869628665635e-31,-2.6724498575055e-31,-9.7820242499913e-31,-1.2817538678045e-30,-3.1127598647885e-32,-1.9739535996977e-31,0,-2.2426461149744e-32,4.315890760946e-32,-3.010369097284e-32,-5.4317026518315e-34,2.2289530480485e-31,1.1989101104258e-32,1.30066463555e-31,16000000,4000000,-5.9660609351205e-05,-5.444414973238e-05,0.00022372607130759,-8.7530140729941e-05,-8.7002578886067e-05,51.156915437257,53.462279416973
4.2375142432667,8.7686550311637e-24,0.00037704938574553,2.2280076821453e-25,-1.0167825882531e-26,-2.0607806335272e-26,-1.7886042717272e-23,3.1377853081545e-24,1.5357349370308e-25,8.5978132999549e-25,1.8742451926113e-24,3.5762767871231e-25,1.0755309545301e-25,8.4473300757779e-25,-1.290323730689e-24,-3.0545990664074e-24,3.3015833511249e-24,1.7043342973189e-25,4.7387762977084e-25,0,3.0557572936637e-26,-1.8851042414566e-25,9.7541878630135e-26,1.6829710197771e-27,8.5968525995469e-25,-1.0090764995043e-25,1.1873422903292e-25,16000000,4000000,-0.00011306639616376,-0.0001031807605481,0.00042366050403318,-0.00031395290335724,-0.00031211291161542,97.003451962347,101.36802796988
6.2375142432667,1.2035958235696e-18,0.00055509504922711,9.563468114095e-20,-1.2708338694282e-20,4.5902989743388e-21,-5.0990949392415e-18,-1.547310101855e-18,-2.9972263073367e-20,-1.6657406893593e-19,-4.1347694922496e-19,-6.339945559637e-20,-1.9787030897718e-20,-1.7747102717335e-19,-1.9507949894212e-19,-1.6061681176896e-18,-1.7300702173243e-18,-2.8157575394082e-20,-6.1637860333593e-20,0,-6.9547760959397e-21,4.4983716860316e-20,-1.4658749498583e-20,-4.013498496759e-22,2.1994136310592e-19,1.1432018510297e-20,5.251114922834e-20,16000000,4000000,-0.00016654609610348,-0.00015198518779103,0.00062355445333589,-0.00068006191421776,-0.00067620495600986,142.96344365411,149.38587862904
8.2375142432667,1.1475700274326e-14,0.00073319710036994,4.0011196087708e-16,-1.9093399080599e-17,1.6952641255312e-17,-2.413097671647e-14,-6.7855168476096e-15,-1.333803052667e-16,-7.5865435418676e-16,-1.7928474296746e-15,-3.1446463281957e-16,-9.0201930712378e-17,-7.9314397478713e-16,-7.8123824201361e-16,-7.3299391821385e-15,-7.6938976302923e-15,-1.4851902463823e-16,-4.0325804326737e-16,0,-2.4998337913685e-17,1.7128520185056e-16,-8.2918833743581e-17,-1.2694292809926e-18,9.2284440435732e-16,4.7802027381867e-17,1.8517005956316e-16,16000000.000001,4000000.0000063,-0.00022009979533187,-0.00020085750831896,0.00082340793572704,-0.0011856733775886,-0.0011791799234415,189.03708712842,197.51602981551
10.237514243267,1.1462867820386e-11,0.00091135557848179,3.2905155352935e-13,-1.438606996346e-14,1.3495757488711e-14,-2.1361638276426e-11,-5.8109236535661e-12,-1.0730871862705e-13,-6.1488849823401e-13,-1.521532087876e-12,-2.5328993405761e-13,-6.8483326985208e-14,-6.6574953729006e-13,-6.457322932079e-13,-6.4397715991381e-12,-6.6567923986325e-12,-1.183700336842e-13,-3.173856313862e-13,0,-1.8627925855116e-14,1.4261248444184e-13,-6.5783154605367e-14,-9.440587943364e-16,7.8152514300496e-13,3.8686746337976e-14,1.4823202109141e-13,16000000.000974,4000000.0062356,-0.00027372758385797,-0.00024979780048435,0.0010232209677078,-0.0018306039831532,-0.0018209389357159,235.2245769834,245.7586779972
